250,BRIDGEPORT HIGH SCHOOL BRIDGEPORT,"55707 INDUSTRIAL DR    BRIDGEPORT, OH 43912-1516"
252,BRIGGS HIGH SCHOOL COLUMBUS,"2555 BRIGGS RD    COLUMBUS, OH 43223-3110"
254,BRISTOL HIGH SCHOOL BRISTOLVILLE,"1845 GREENVILLE RD NW    BRISTOLVILLE, OH 44402-0260"
256,BROOKFIELD HIGH SCHOOL BROOKFIELD,"614 BEDFORD RD.    BROOKFIELD, OH 44403-9540"
258,BROOKHAVEN HIGH SCHOOL COLUMBUS,
260,BROOKLYN HIGH SCHOOL BROOKLYN,"9200 BIDDULPH RD    BROOKLYN, OH 44144-2614"
262,BROOKSIDE HIGH SCHOOL SHEFFIELD,"1662 HARRIS RD.    SHEFFIELD, OH 44054-2698"
264,BROOKVILLE HIGH SCHOOL BROOKVILLE,"1 BLUE PRIDE DRIVE    BROOKVILLE, OH 45309-1443"
268,BRUNSWICK HIGH SCHOOL BRUNSWICK,"3581 CENTER RD    BRUNSWICK, OH 44212-3617"
270,BRUSH HIGH SCHOOL LYNDHURST,"4875 GLENLYN ROAD    LYNDHURST, OH 44124-2312"
272,BRYAN HIGH SCHOOL BRYAN,"150 S PORTLAND ST    BRYAN, OH 43506-1641"
274,BUCHTEL HIGH SCHOOL AKRON,"1040 COPLEY RD    AKRON, OH 44320-2853"
278,BUCKEYE CENTRAL HIGH SCHOOL NEW WASHINGTON,"938 S. KIBLER STREET    NEW WASHINGTON, OH 44854"
276,BUCKEYE HIGH SCHOOL MEDINA,"3084 COLUMBIA ROAD    MEDINA, OH 44256-9411"
282,BUCKEYE LOCAL HIGH SCHOOL RAYLAND,"10692 STATE HIGHWAY 150    RAYLAND, OH 43943-7847"
284,BUCKEYE TRAIL HIGH SCHOOL LORE CITY,"65555 WINTERGREEN ROAD    LORE CITY, OH 43755-9715"
286,BUCKEYE VALLEY HIGH SCHOOL DELAWARE,"901 COOVER RD    DELAWARE, OH 43015-9733"
290,BUCYRUS HIGH SCHOOL BUCYRUS,"900 W. PERRY    BUCYRUS, OH 44820"
292,BUTLER HIGH SCHOOL VANDALIA,"600 S DIXIE DRIVE    VANDALIA, OH 45377-2550"
296,CALDWELL HIGH SCHOOL CALDWELL,"516 FAIRGROUND ST    CALDWELL, OH 43724-1108"
298,CALVERT HIGH SCHOOL TIFFIN,"152 MADISON ST    TIFFIN, OH 44883-2825"
300,CAMBRIDGE HIGH SCHOOL CAMBRIDGE,"1401 DEERPATH DR    CAMBRIDGE, OH 43725-9097"
302,CANAL WINCHESTER HIGH SCHOOL C WINCHESTER,"300 WASHINGTON ST    CANAL WINCHESTER, OH 43110-1224"
304,CANFIELD HIGH SCHOOL CANFIELD,"100 CARDINAL DR    CANFIELD, OH 44406-1111"
340,CANTON CENTRAL CATHOLIC HIGH S CANTON,"4824 W TUSCARAWAS ST W    CANTON, OH 44708-5118"
306,CANTON MC KINLEY HIGH SCHOOL CANTON,"2323 17TH ST NW    CANTON, OH 44708-2601"
1432,CANTON SOUTH HIGH SCHOOL CANTON,"600 FAIRCREST ST SE    CANTON, OH 44707-1344"
308,CARDINAL HIGH SCHOOL MIDDLEFIELD,"14785 THOMPSON AVE    MIDDLEFIELD, OH 44062-9636"
310,CARDINAL MOONEY HIGH SCHOOL YOUNGSTOWN,"2545 ERIE ST    YOUNGSTOWN, OH 44507-1522"
